Build_platform_temperature,Build_platform_target_temperature,Hot_end_temperature,Hot_end_target_temperature,Progress,User,Object,Process_time,Fan_speed,Feed_rate,Current_height,Average_layer_duration,Last_layer_duration,Current_layer,Total_layers,Machine_state,Date,timetime,timeperf_counter,Part
61.5,60.0,200.6,200.0,0.027010569521428,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,146,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:01,0.3119852542877197,0.31252530000000434,3
61.5,60.0,200.6,200.0,0.0274270320470888,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,148,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:03,0.3106529712677002,0.31141630000001896,3
61.4,60.0,200.6,200.0,0.0278434945727496,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,150,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:04,0.29959821701049805,0.300209499999994,3
61.4,60.0,200.6,200.0,0.0282599570984104,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,151,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:05,0.3115878105163574,0.31215879999999174,3
61.4,60.0,200.6,200.0,0.0299704281859458,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,152,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:07,0.30190348625183105,0.30251129999999193,3
61.4,60.0,200.6,200.0,0.0351464624334441,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,153,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:08,0.2882530689239502,0.28889129999998886,3
61.5,60.0,198.7,200.0,0.0355777986207356,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,155,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:09,0.29606151580810547,0.29650440000000344,3
61.5,60.0,198.7,200.0,0.0398911604936509,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,156,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:11,0.28942298889160156,0.290115400000019,3
61.5,60.0,198.7,200.0,0.0525486465414126,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,158,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:12,0.29772019386291504,0.29810359999999037,3
61.5,60.0,198.7,200.0,0.0601342139730912,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,159,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:13,0.3118011951446533,0.3127020000000016,3
61.1,60.0,198.9,200.0,0.0643285865529605,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,160,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:15,0.30776357650756836,0.31274859999999194,3
61.1,60.0,198.9,200.0,0.0677941497129235,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,161,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:16,0.3006577491760254,0.3012247000000059,3
61.1,60.0,198.9,200.0,0.0746955287095879,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,163,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:17,0.31079816818237305,0.31129740000000083,3
61.0,60.0,199.6,200.0,0.0863713530897206,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,164,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:19,0.3063771724700928,0.3069951999999887,3
61.0,60.0,199.6,200.0,0.087620740666703,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,165,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:20,0.29091405868530273,0.2914748999999972,3
61.0,60.0,199.6,200.0,0.0945072460017366,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,167,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 19:57:21,0.2928130626678467,0.29330300000000875,3
