Build_platform_temperature,Build_platform_target_temperature,Hot_end_temperature,Hot_end_target_temperature,Progress,User,Object,Process_time,Fan_speed,Feed_rate,Current_height,Average_layer_duration,Last_layer_duration,Current_layer,Total_layers,Machine_state,Date,timetime,timeperf_counter,Part
60.9,60.0,199.5,200.0,0.0258691499465678,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,83,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:10,0.34093570709228516,0.3416367999999892,1
60.9,60.0,199.5,200.0,0.0258691499465678,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,83,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:12,0.3141055107116699,0.3145528000000013,1
60.9,60.0,199.5,200.0,0.0258691499465678,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,83,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:13,0.3226008415222168,0.3233596000000034,1
60.9,60.0,199.5,200.0,0.0267309596518527,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,87,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:14,0.31550168991088867,0.31591179999999497,1
60.8,60.0,200.2,200.0,0.0280236742097799,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,88,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:16,0.3300483226776123,0.33038710000001004,1
60.8,60.0,200.2,200.0,0.0319018178835618,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,89,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:17,0.2980213165283203,0.2987568000000067,1
60.8,60.0,200.2,200.0,0.0323327227362042,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,91,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:18,0.289961576461792,0.29049369999999897,1
60.8,60.0,199.8,200.0,0.0327636275888466,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,92,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:20,0.3103470802307129,0.3110631000000126,1
60.8,60.0,199.8,200.0,0.0371915464194481,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,93,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:21,0.2973592281341553,0.2980694000000028,1
60.8,60.0,199.8,200.0,0.0407576555447648,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,95,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:22,0.30082225799560547,0.301247900000007,1
60.8,60.0,199.8,200.0,0.043402519812708,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,96,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:24,0.3005030155181885,0.30100919999999576,1
60.5,60.0,199.5,200.0,0.0472806634864898,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,97,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:25,0.31827712059020996,0.31888589999999795,1
60.5,60.0,199.5,200.0,0.0477115683391322,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,99,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:26,0.31023359298706055,0.3107978999999972,1
60.5,60.0,199.5,200.0,0.0515005592847812,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,100,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:28,0.3095846176147461,0.3101832999999914,1
60.5,60.0,199.5,200.0,0.0561216423596706,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,101,0,10800.0,0.20,0,0,1,105,printing,2021-05-11 13:51:29,0.3311948776245117,0.3318521000000061,1
60.5,60.0,199.9,200.0,0.056448535696158,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,102,0,2100.0,0.20,0,0,1,105,printing,2021-05-11 13:51:30,0.30988502502441406,0.3107272999999964,1
60.5,60.0,199.9,200.0,0.0645762927442755,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,104,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:32,0.31330037117004395,0.313751400000001,1
60.5,60.0,199.9,200.0,0.0650071975969179,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,104,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:33,0.31624269485473633,0.31665869999999074,1
60.5,60.0,199.9,200.0,0.0654381024495604,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,106,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:34,0.3014817237854004,0.30208910000000344,1
60.3,60.0,200.4,200.0,0.0757798189129786,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,108,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:36,0.3321104049682617,0.33291309999999896,1
60.3,60.0,200.4,200.0,0.0859580887081532,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,109,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:37,0.3032994270324707,0.303993399999996,1
60.3,60.0,200.4,200.0,0.090415725114799,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,110,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:38,0.31296658515930176,0.31345210000000634,1
60.3,60.0,200.4,200.0,0.0970130269966348,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,112,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:40,0.30653905868530273,0.3069368999999966,1
60.4,60.0,200.4,200.0,0.0987366464072045,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,113,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:41,0.32465171813964844,0.32480479999999545,1
60.4,60.0,200.4,200.0,0.110965428949436,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,115,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:42,0.3079257011413574,0.30796220000000574,1
60.4,60.0,200.4,200.0,0.117220978706762,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,116,0,8640.0,0.20,0,0,1,105,printing,2021-05-11 13:51:44,0.3430206775665283,0.3432690000000065,1
60.6,60.0,199.6,200.0,0.12065335873988,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,117,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:45,0.320756196975708,0.32139380000000983,1
60.6,60.0,199.6,200.0,0.129197161852617,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,118,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:46,0.31255316734313965,0.3131932000000006,1
60.6,60.0,199.6,200.0,0.12962806670526,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,120,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:48,0.29964447021484375,0.3001807999999926,1
60.6,60.0,199.6,200.0,0.133937115231684,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,121,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:49,0.32602500915527344,0.3265231999999969,1
60.6,60.0,199.4,200.0,0.146581943838536,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,123,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:50,0.3168456554412842,0.31745109999999954,1
60.6,60.0,199.4,200.0,0.154159925729834,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,124,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:52,0.32627153396606445,0.3270889000000068,1
60.6,60.0,199.4,200.0,0.158795867592746,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,125,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:53,0.31424689292907715,0.314620600000012,1
60.6,60.0,199.4,200.0,0.161812201561243,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,126,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:54,0.2918846607208252,0.29276269999999727,1
60.5,60.0,200.3,200.0,0.168706679203521,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,128,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:56,0.2983124256134033,0.29889409999998406,1
60.5,60.0,200.3,200.0,0.180742297501465,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,129,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:57,0.2875251770019531,0.28812910000002034,1
60.5,60.0,200.3,200.0,0.181990435695326,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,131,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:58,0.2940714359283447,0.2949573000000214,1
60.5,60.0,200.3,200.0,0.188870054549583,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,132,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:51:59,0.3023703098297119,0.30298580000001607,1
60.4,60.0,200.6,200.0,0.189300959402225,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,133,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:52:01,0.28157520294189453,0.28234259999999267,1
60.4,60.0,200.6,200.0,0.190593673960152,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,135,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 13:52:02,0.3220996856689453,0.3224185999999918,1
