Uuid,Status,Additional data,Characteristic,Path,K1 Measured value,K2 Comment,K3 Order,K4 Time/Date,K5 Event,K8 Operator,K9 Text,K12 CMM Type,K14 Part ident,K53 Order number,K96 Approval,K10020 Run,K10030 Software,K10031 Software revision,K10096 Measurement number,K2001 Characteristic number,K2006 Control item,K2008 Group type,K2022 Decimal places,K2073 Dimension of calibration master,K2080 Characteristic status,K2097 Address text,K2098 Address,K2100 Target value,K2101 Nominal value,K2110 Lower limit,K2111 Upper limit,K2112 Lower allowance,K2113 Upper allowance,K2120 Lower limit type,K2121 Upper limit type,K2142 Unit,K2201 Process variation,K2342 Module,K2404 Gage resolution,K2504 Change status,K2520 Reference system,K2540 Direction X,K2541 Direction Y,K2542 Direction Z,K2543 Position X,K2544 Position Y,K2545 Position Z,K8014 Lower warning limit,K8015 Upper warning limit,K12009 Characteristic Specification,K12010 Characteristic type
"e165d8b9-f83d-482f-b14d-c335527b8444|ee2ae720-89ef-4fb8-aebd-776c8fea83d5","1","True","Roundness_Cyl_4mm_Pos","/CC1/Roundness_Cyl_4mm_Pos","0.0914459059183268",,"9",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","12","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_4mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0066637922093418","0.0258909898173943","0.999642561378649","11.4712891082253","-13.854636151642","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"e165d8b9-f83d-482f-b14d-c335527b8444|d3759220-1735-42b4-adae-540d7a035984","1","True","Roundness_Cyl_8mm_Pos","/CC1/Roundness_Cyl_8mm_Pos","0.0834613064764822",,"8",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","11","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_8mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0123123531362024","0.012113930291373","0.999850818198968","11.4571851850102","-13.8671352385823","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"e165d8b9-f83d-482f-b14d-c335527b8444|eafeb252-e87a-4702-9c79-a014bbeee2e8","3","True","Roundness_Cyl_16mm_Neg","/CC1/Roundness_Cyl_16mm_Neg","0.200995475931725",,"7",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","10","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_16mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0035085340018038","0.0046271778426297","0.999983139565048","11.4272143355067","-13.7973392900171","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"e165d8b9-f83d-482f-b14d-c335527b8444|67652f67-fcbb-4b10-966d-700318794de4","3","True","Roundness_Cyl_24mm_Neg","/CC1/Roundness_Cyl_24mm_Neg","0.29196640916671",,"6",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","9","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_24mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0110681229381304","0.0015971278942749","0.999937470963618","11.391017220951","-13.6988130819311","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"e165d8b9-f83d-482f-b14d-c335527b8444|1ab281fb-140b-4ba9-b0cd-c8aa23fa227c","3","True","Diameter_Cyl_4mm_Pos","/Cylinder_Diameters/Diameter_Cyl_4mm_Pos","4.32280404143179",,"5",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","7","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_4mm_Pos","4","4","3.95","4.05","-0.05","0.05","Limit value","Limit value","mm",,,,,,"-0.0045158837620275","0.0111085314326813","0.999928101076901","11.4399098584421","-13.8340864736586","12","3.95","4.05","CharacteristicsDiameter",
"e165d8b9-f83d-482f-b14d-c335527b8444|6c232fda-5bde-4539-89cc-f1e098d2eca1","3","True","Diameter_Cyl_8mm_Pos","/Cylinder_Diameters/Diameter_Cyl_8mm_Pos","8.18785155265937",,"4",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","6","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_8mm_Pos","8","8","7.9","8.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"0.0123020161386342","0.0067614642961024","0.999901466645338","11.4684428535963","-13.8627840442031","4","7.9","8.1","CharacteristicsDiameter",
"e165d8b9-f83d-482f-b14d-c335527b8444|f172f06d-5ccc-472e-b19c-a124cff50501","3","True","Diameter_Cyl_16mm_Neg","/Cylinder_Diameters/Diameter_Cyl_16mm_Neg","15.7809149751297",,"3",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","5","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_16mm_Neg","16","16","15.9","16.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0013010026363238","0.0074524815986299","0.99997138354563","11.4384779939682","-13.8276450680771","4","15.9","16.1","CharacteristicsDiameter",
"e165d8b9-f83d-482f-b14d-c335527b8444|85d39ba1-0cd2-4247-bab1-fd93a4e157fa","3","True","Diameter_Cyl_24mm_Neg","/Cylinder_Diameters/Diameter_Cyl_24mm_Neg","23.8589983011604",,"2",5/20/2021 11:17:56 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","3","4","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_24mm_Neg","24","24","23.9","24.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0011241925237979","-0.000571855701279","0.999999204585797","11.4201420905685","-13.7567879680467","12","23.9","24.1","CharacteristicsDiameter",
"db1ea393-467b-432c-a70d-7eb47936ad14|8cbb4e28-4236-4429-be6a-166b23a8e861","3","True","Flatness_Base_Plate","/Flatness_Base_Plate","0.337155944103901",,"1",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","2","Yes",,"3",,"1",,"calypso:Test+2?elementu=Flatness_Base_Plate","0","0","0","0.2","0","0.2","natural limit","Limit value","mm",,,,,,"4.75828296813E-05","7.49889657107E-05","0.999999996056265","9.56648987570811","-0.521623697512275","0.0039501236226762",,"0.2","FormAndPositionFlatness","Flatness.Flt"
"db1ea393-467b-432c-a70d-7eb47936ad14|ee2ae720-89ef-4fb8-aebd-776c8fea83d5","3","True","Roundness_Cyl_4mm_Pos","/CC1/Roundness_Cyl_4mm_Pos","0.121740630974798",,"9",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","12","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_4mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0066637922093418","0.0258909898173943","0.999642561378649","11.4712891082253","-13.854636151642","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"db1ea393-467b-432c-a70d-7eb47936ad14|d3759220-1735-42b4-adae-540d7a035984","1","True","Roundness_Cyl_8mm_Pos","/CC1/Roundness_Cyl_8mm_Pos","0.0904002344102235",,"8",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","11","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_8mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0123123531362024","0.012113930291373","0.999850818198968","11.4571851850102","-13.8671352385823","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"db1ea393-467b-432c-a70d-7eb47936ad14|eafeb252-e87a-4702-9c79-a014bbeee2e8","3","True","Roundness_Cyl_16mm_Neg","/CC1/Roundness_Cyl_16mm_Neg","0.193658439153515",,"7",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","10","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_16mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0035085340018038","0.0046271778426297","0.999983139565048","11.4272143355067","-13.7973392900171","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"db1ea393-467b-432c-a70d-7eb47936ad14|67652f67-fcbb-4b10-966d-700318794de4","3","True","Roundness_Cyl_24mm_Neg","/CC1/Roundness_Cyl_24mm_Neg","0.298201366120208",,"6",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","9","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_24mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0110681229381304","0.0015971278942749","0.999937470963618","11.391017220951","-13.6988130819311","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"db1ea393-467b-432c-a70d-7eb47936ad14|1ab281fb-140b-4ba9-b0cd-c8aa23fa227c","3","True","Diameter_Cyl_4mm_Pos","/Cylinder_Diameters/Diameter_Cyl_4mm_Pos","4.3249843244223",,"5",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","7","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_4mm_Pos","4","4","3.95","4.05","-0.05","0.05","Limit value","Limit value","mm",,,,,,"-0.0045158837620275","0.0111085314326813","0.999928101076901","11.4399098584421","-13.8340864736586","12","3.95","4.05","CharacteristicsDiameter",
"db1ea393-467b-432c-a70d-7eb47936ad14|6c232fda-5bde-4539-89cc-f1e098d2eca1","3","True","Diameter_Cyl_8mm_Pos","/Cylinder_Diameters/Diameter_Cyl_8mm_Pos","8.18990125100261",,"4",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","6","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_8mm_Pos","8","8","7.9","8.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"0.0123020161386342","0.0067614642961024","0.999901466645338","11.4684428535963","-13.8627840442031","4","7.9","8.1","CharacteristicsDiameter",
"db1ea393-467b-432c-a70d-7eb47936ad14|f172f06d-5ccc-472e-b19c-a124cff50501","3","True","Diameter_Cyl_16mm_Neg","/Cylinder_Diameters/Diameter_Cyl_16mm_Neg","15.7785922756679",,"3",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","5","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_16mm_Neg","16","16","15.9","16.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0013010026363238","0.0074524815986299","0.99997138354563","11.4384779939682","-13.8276450680771","4","15.9","16.1","CharacteristicsDiameter",
"db1ea393-467b-432c-a70d-7eb47936ad14|85d39ba1-0cd2-4247-bab1-fd93a4e157fa","3","True","Diameter_Cyl_24mm_Neg","/Cylinder_Diameters/Diameter_Cyl_24mm_Neg","23.8547514157638",,"2",5/20/2021 11:12:20 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","2","4","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_24mm_Neg","24","24","23.9","24.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0011241925237979","-0.000571855701279","0.999999204585797","11.4201420905685","-13.7567879680467","12","23.9","24.1","CharacteristicsDiameter",
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|8cbb4e28-4236-4429-be6a-166b23a8e861","3","True","Flatness_Base_Plate","/Flatness_Base_Plate","0.351892805777907",,"1",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","2","Yes",,"3",,"1",,"calypso:Test+2?elementu=Flatness_Base_Plate","0","0","0","0.2","0","0.2","natural limit","Limit value","mm",,,,,,"4.75828296813E-05","7.49889657107E-05","0.999999996056265","9.56648987570811","-0.521623697512275","0.0039501236226762",,"0.2","FormAndPositionFlatness","Flatness.Flt"
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|ee2ae720-89ef-4fb8-aebd-776c8fea83d5","1","True","Roundness_Cyl_4mm_Pos","/CC1/Roundness_Cyl_4mm_Pos","0.0956646790541331",,"9",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","12","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_4mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0066637922093418","0.0258909898173943","0.999642561378649","11.4712891082253","-13.854636151642","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|d3759220-1735-42b4-adae-540d7a035984","1","True","Roundness_Cyl_8mm_Pos","/CC1/Roundness_Cyl_8mm_Pos","0.0881511751319728",,"8",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","11","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_8mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0123123531362024","0.012113930291373","0.999850818198968","11.4571851850102","-13.8671352385823","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|eafeb252-e87a-4702-9c79-a014bbeee2e8","3","True","Roundness_Cyl_16mm_Neg","/CC1/Roundness_Cyl_16mm_Neg","0.213838662344349",,"7",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","10","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_16mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0035085340018038","0.0046271778426297","0.999983139565048","11.4272143355067","-13.7973392900171","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|67652f67-fcbb-4b10-966d-700318794de4","3","True","Roundness_Cyl_24mm_Neg","/CC1/Roundness_Cyl_24mm_Neg","0.316094552960431",,"6",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","9","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_24mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0110681229381304","0.0015971278942749","0.999937470963618","11.391017220951","-13.6988130819311","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|1ab281fb-140b-4ba9-b0cd-c8aa23fa227c","3","True","Diameter_Cyl_4mm_Pos","/Cylinder_Diameters/Diameter_Cyl_4mm_Pos","4.33753576183646",,"5",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","7","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_4mm_Pos","4","4","3.95","4.05","-0.05","0.05","Limit value","Limit value","mm",,,,,,"-0.0045158837620275","0.0111085314326813","0.999928101076901","11.4399098584421","-13.8340864736586","12","3.95","4.05","CharacteristicsDiameter",
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|6c232fda-5bde-4539-89cc-f1e098d2eca1","3","True","Diameter_Cyl_8mm_Pos","/Cylinder_Diameters/Diameter_Cyl_8mm_Pos","8.19170333257246",,"4",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","6","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_8mm_Pos","8","8","7.9","8.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"0.0123020161386342","0.0067614642961024","0.999901466645338","11.4684428535963","-13.8627840442031","4","7.9","8.1","CharacteristicsDiameter",
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|f172f06d-5ccc-472e-b19c-a124cff50501","3","True","Diameter_Cyl_16mm_Neg","/Cylinder_Diameters/Diameter_Cyl_16mm_Neg","15.762255461742",,"3",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","5","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_16mm_Neg","16","16","15.9","16.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0013010026363238","0.0074524815986299","0.99997138354563","11.4384779939682","-13.8276450680771","4","15.9","16.1","CharacteristicsDiameter",
"16b4e5b8-7c9c-451f-804b-c4f8ad099bae|85d39ba1-0cd2-4247-bab1-fd93a4e157fa","3","True","Diameter_Cyl_24mm_Neg","/Cylinder_Diameters/Diameter_Cyl_24mm_Neg","23.8343036161145",,"2",5/20/2021 11:04:10 AM,,"Master",,"146660 - DURAMAX - DuraMax","1","Ultimaker_2",,"All Characteristics","CALYPSO","6.6.1601","1","4","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_24mm_Neg","24","24","23.9","24.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0011241925237979","-0.000571855701279","0.999999204585797","11.4201420905685","-13.7567879680467","12","23.9","24.1","CharacteristicsDiameter",
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|8cbb4e28-4236-4429-be6a-166b23a8e861","3","True","Flatness_Base_Plate","/Flatness_Base_Plate","0.534959847400648",,"1",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","2","Yes",,"3",,"1",,"calypso:Test+2?elementu=Flatness_Base_Plate","0","0","0","0.2","0","0.2","natural limit","Limit value","mm",,,,,,"4.75828296813E-05","7.49889657107E-05","0.999999996056265","9.56648987570811","-0.521623697512275","0.0039501236226762",,"0.2","FormAndPositionFlatness","Flatness.Flt"
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|ee2ae720-89ef-4fb8-aebd-776c8fea83d5","1","True","Roundness_Cyl_4mm_Pos","/CC1/Roundness_Cyl_4mm_Pos","0.0919717801602382",,"9",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","12","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_4mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0066637922093418","0.0258909898173943","0.999642561378649","11.4712891082253","-13.854636151642","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|d3759220-1735-42b4-adae-540d7a035984","3","True","Roundness_Cyl_8mm_Pos","/CC1/Roundness_Cyl_8mm_Pos","0.115082029499555",,"8",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","11","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_8mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0123123531362024","0.012113930291373","0.999850818198968","11.4571851850102","-13.8671352385823","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|eafeb252-e87a-4702-9c79-a014bbeee2e8","3","True","Roundness_Cyl_16mm_Neg","/CC1/Roundness_Cyl_16mm_Neg","0.238332412630755",,"7",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","10","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_16mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0035085340018038","0.0046271778426297","0.999983139565048","11.4272143355067","-13.7973392900171","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|67652f67-fcbb-4b10-966d-700318794de4","3","True","Roundness_Cyl_24mm_Neg","/CC1/Roundness_Cyl_24mm_Neg","0.365828891743384",,"6",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","9","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_24mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0110681229381304","0.0015971278942749","0.999937470963618","11.391017220951","-13.6988130819311","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|1ab281fb-140b-4ba9-b0cd-c8aa23fa227c","3","True","Diameter_Cyl_4mm_Pos","/Cylinder_Diameters/Diameter_Cyl_4mm_Pos","4.34218060870767",,"5",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","7","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_4mm_Pos","4","4","3.95","4.05","-0.05","0.05","Limit value","Limit value","mm",,,,,,"-0.0045158837620275","0.0111085314326813","0.999928101076901","11.4399098584421","-13.8340864736586","12","3.95","4.05","CharacteristicsDiameter",
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|6c232fda-5bde-4539-89cc-f1e098d2eca1","3","True","Diameter_Cyl_8mm_Pos","/Cylinder_Diameters/Diameter_Cyl_8mm_Pos","8.21465882346316",,"4",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","6","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_8mm_Pos","8","8","7.9","8.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"0.0123020161386342","0.0067614642961024","0.999901466645338","11.4684428535963","-13.8627840442031","4","7.9","8.1","CharacteristicsDiameter",
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|f172f06d-5ccc-472e-b19c-a124cff50501","3","True","Diameter_Cyl_16mm_Neg","/Cylinder_Diameters/Diameter_Cyl_16mm_Neg","15.7313867273052",,"3",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","5","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_16mm_Neg","16","16","15.9","16.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0013010026363238","0.0074524815986299","0.99997138354563","11.4384779939682","-13.8276450680771","4","15.9","16.1","CharacteristicsDiameter",
"944b50c0-5b7e-4c53-824c-323aaaa97aa6|85d39ba1-0cd2-4247-bab1-fd93a4e157fa","3","True","Diameter_Cyl_24mm_Neg","/Cylinder_Diameters/Diameter_Cyl_24mm_Neg","23.8212460342942",,"2",5/20/2021 10:57:23 AM,,"Master",,"146660 - DURAMAX - DuraMax","3","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","3","4","Yes",,"3",,,,"calypso:Test+2?elementu=Diameter_Cyl_24mm_Neg","24","24","23.9","24.1","-0.1","0.1","Limit value","Limit value","mm",,,,,,"-0.0011241925237979","-0.000571855701279","0.999999204585797","11.4201420905685","-13.7567879680467","12","23.9","24.1","CharacteristicsDiameter",
"6296aa34-9930-4ccb-bd68-02827d6a6918|8cbb4e28-4236-4429-be6a-166b23a8e861","3","True","Flatness_Base_Plate","/Flatness_Base_Plate","0.540625527101964",,"1",5/20/2021 10:50:25 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","2","2","Yes",,"3",,"1",,"calypso:Test+2?elementu=Flatness_Base_Plate","0","0","0","0.2","0","0.2","natural limit","Limit value","mm",,,,,,"4.75828296813E-05","7.49889657107E-05","0.999999996056265","9.56648987570811","-0.521623697512275","0.0039501236226762",,"0.2","FormAndPositionFlatness","Flatness.Flt"
"6296aa34-9930-4ccb-bd68-02827d6a6918|ee2ae720-89ef-4fb8-aebd-776c8fea83d5","1","True","Roundness_Cyl_4mm_Pos","/CC1/Roundness_Cyl_4mm_Pos","0.0922514352339001",,"9",5/20/2021 10:50:25 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","2","12","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_4mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0066637922093418","0.0258909898173943","0.999642561378649","11.4712891082253","-13.854636151642","12",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"6296aa34-9930-4ccb-bd68-02827d6a6918|d3759220-1735-42b4-adae-540d7a035984","3","True","Roundness_Cyl_8mm_Pos","/CC1/Roundness_Cyl_8mm_Pos","0.114224130186543",,"8",5/20/2021 10:50:25 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","2","11","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_8mm_Pos","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"0.0123123531362024","0.012113930291373","0.999850818198968","11.4571851850102","-13.8671352385823","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
"6296aa34-9930-4ccb-bd68-02827d6a6918|eafeb252-e87a-4702-9c79-a014bbeee2e8","3","True","Roundness_Cyl_16mm_Neg","/CC1/Roundness_Cyl_16mm_Neg","0.233502152932617",,"7",5/20/2021 10:50:25 AM,,"Master",,"146660 - DURAMAX - DuraMax","2","Ultimaker_1",,"All Characteristics","CALYPSO","6.6.1601","2","10","Yes",,"3",,,,"calypso:Test+2?elementu=Roundness_Cyl_16mm_Neg","0","0","0","0.1","0","0.1","natural limit","Limit value","mm",,,,,,"-0.0035085340018038","0.0046271778426297","0.999983139565048","11.4272143355067","-13.7973392900171","4",,"0.1","FormAndPositionRoundness","Roundness.Cir"
