Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
271,Printing,2021-05-04 11:32:31,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.16290688514709473,0.1620375999999908,1
271,Printing,2021-05-04 11:32:32,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1768507957458496,0.17695520000000897,1
271,Printing,2021-05-04 11:32:33,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13985013961791992,0.1395031000000131,1
271,Printing,2021-05-04 11:32:34,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.18275761604309082,0.18288390000000732,1
271,Printing,2021-05-04 11:32:35,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.15857625007629395,0.15885639999999057,1
274,Printing,2021-05-04 11:32:36,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.15273189544677734,0.1521107000000086,1
274,Printing,2021-05-04 11:32:38,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1334688663482666,0.13341590000001702,1
274,Printing,2021-05-04 11:32:39,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1303551197052002,0.13041079999999283,1
274,Printing,2021-05-04 11:32:40,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.142225980758667,0.14253199999998856,1
276,Printing,2021-05-04 11:32:41,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.16501426696777344,0.16505240000000754,1
276,Printing,2021-05-04 11:32:42,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12815046310424805,0.12825349999999958,1
276,Printing,2021-05-04 11:32:44,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.14483118057250977,0.14511429999998882,1
276,Printing,2021-05-04 11:32:45,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13876032829284668,0.13894559999999956,1
