Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
276,Printing,2021-05-10 09:35:06,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.2661769390106201,0.2665630000000192,3
276,Printing,2021-05-10 09:35:07,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.14594459533691406,0.14609989999996742,3
276,Printing,2021-05-10 09:35:08,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1495985984802246,0.14995449999997845,3
275,Printing,2021-05-10 09:35:09,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13051915168762207,0.13092749999998432,3
275,Printing,2021-05-10 09:35:10,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1452643871307373,0.1450795999999741,3
275,Printing,2021-05-10 09:35:12,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12477946281433105,0.12562950000000228,3
275,Printing,2021-05-10 09:35:13,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13108205795288086,0.13125450000001138,3
275,Printing,2021-05-10 09:35:14,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.19748330116271973,0.19759809999999334,3
275,Printing,2021-05-10 09:35:15,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.16792631149291992,0.16766730000000507,3
275,Printing,2021-05-10 09:35:16,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13864731788635254,0.1385781000000179,3
275,Printing,2021-05-10 09:35:18,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.2214059829711914,0.22219010000003436,3
275,Printing,2021-05-10 09:35:19,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1564936637878418,0.15699069999999438,3
275,Printing,2021-05-10 09:35:20,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.145066499710083,0.14506440000002385,3
275,Printing,2021-05-10 09:35:21,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1625654697418213,0.1623283999999785,3
275,Printing,2021-05-10 09:35:22,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12964200973510742,0.12978980000002593,3
275,Printing,2021-05-10 09:35:24,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.20545005798339844,0.2057810999999674,3
275,Printing,2021-05-10 09:35:25,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.18648838996887207,0.18637159999991582,3
275,Printing,2021-05-10 09:35:26,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13364124298095703,0.13329510000005484,3
275,Printing,2021-05-10 09:35:27,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.16556048393249512,0.16626139999993939,3
