Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
274,Printing,2021-05-05 13:51:17,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.14288640022277832,0.14257800000000032,2
271,Printing,2021-05-05 13:51:18,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12290024757385254,0.12333659999999469,2
271,Printing,2021-05-05 13:51:20,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.17852210998535156,0.17897209999999575,2
271,Printing,2021-05-05 13:51:21,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.11888504028320312,0.11897809999999964,2
271,Printing,2021-05-05 13:51:22,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.14155960083007812,0.14134049999999831,2
271,Printing,2021-05-05 13:51:23,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1255946159362793,0.12571020000000033,2
271,Printing,2021-05-05 13:51:24,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.16465306282043457,0.1645230999999967,2
271,Printing,2021-05-05 13:51:25,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1282961368560791,0.12892420000000016,2
271,Printing,2021-05-05 13:51:27,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12610411643981934,0.1261855000000054,2
271,Printing,2021-05-05 13:51:28,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12492251396179199,0.1248501000000033,2
271,Printing,2021-05-05 13:51:29,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.18151473999023438,0.1815311999999949,2
271,Printing,2021-05-05 13:51:30,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12998223304748535,0.1298532999999935,2
271,Printing,2021-05-05 13:51:31,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.11723875999450684,0.11732290000000489,2
271,Printing,2021-05-05 13:51:33,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.17985129356384277,0.18053770000000213,2
272,Printing,2021-05-05 13:51:34,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12712335586547852,0.12713969999998653,2
272,Printing,2021-05-05 13:51:35,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12080550193786621,0.12101859999999931,2
272,Printing,2021-05-05 13:51:36,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1306324005126953,0.13048179999999832,2
272,Printing,2021-05-05 13:51:37,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13902497291564941,0.1388333000000017,2
275,Printing,2021-05-05 13:51:38,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.1338791847229004,0.13349719999999365,2
275,Printing,2021-05-05 13:51:40,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.174271821975708,0.17445510000000297,2
275,Printing,2021-05-05 13:51:41,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.14124798774719238,0.14125899999999092,2
275,Printing,2021-05-05 13:51:42,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.129927396774292,0.13006729999999322,2
276,Printing,2021-05-05 13:51:43,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12447285652160645,0.12454050000000905,2
276,Printing,2021-05-05 13:51:44,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.17289519309997559,0.1728531999999916,2
276,Printing,2021-05-05 13:51:45,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13132429122924805,0.13181329999999036,2
276,Printing,2021-05-05 13:51:47,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13124799728393555,0.13123330000000522,2
276,Printing,2021-05-05 13:51:48,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.13457059860229492,0.13475579999999354,2
278,Printing,2021-05-05 13:51:49,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.16902685165405273,0.16876670000000615,2
278,Printing,2021-05-05 13:51:50,1,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,201.0,Onyx,0.12006568908691406,0.12030440000000908,2
